"areacd","year","value","codeId"
"E07000039","2022","76.2",3
"E07000129","2022","87.5",3
"E07000130","2022","78.3",3
"E07000131","2022","80.5",3
"E07000132","2022","77.3",3
"E07000133","2022","85.2",3
"E07000134","2022","76.8",3
"E07000135","2022","78.6",3
"E07000136","2022","74.6",3
"E07000137","2022","61.8",3
"E07000138","2022","76.2",3
"E07000139","2022","79",3
"E07000140","2022","83.3",3
"E07000141","2022","72.4",3
"E07000142","2022","84.7",3
"E07000170","2022","76.4",3
"E07000171","2022","78.4",3
"E07000172","2022","67.9",3
"E07000173","2022","75.2",3
"E07000174","2022","71.4",3
"E07000175","2022","79",3
"E07000176","2022","82.4",3
"E06000019","2022","75.3",3
"E06000051","2022","79.6",3
"E06000021","2022","71.9",3
"E06000020","2022","74.7",3
"E07000192","2022","85",3
"E07000193","2022","79.5",3
"E07000194","2022","83.6",3
"E07000195","2022","72.4",3
"E07000196","2022","89.4",3
"E07000197","2022","77.2",3
"E07000198","2022","80.2",3
"E07000199","2022","84.5",3
"E07000218","2022","79.4",3
"E07000219","2022","78.8",3
"E07000220","2022","83.9",3
"E07000221","2022","81",3
"E07000222","2022","82.5",3
"E08000025","2022","66.3",3
"E08000026","2022","72.1",3
"E08000027","2022","77.9",3
"E08000028","2022","63.9",3
"E08000029","2022","77.9",3
"E08000030","2022","71.6",3
"E08000031","2022","66",3
"E07000234","2022","78",3
"E07000235","2022","74",3
"E07000236","2022","78.8",3
"E07000237","2022","77.2",3
"E07000238","2022","82.7",3
"E07000239","2022","71.1",3
"E06000055","2022","75.7",3
"E06000056","2022","81",3
"E06000032","2022","67.5",3
"E06000031","2022","79.3",3
"E06000033","2022","75.7",3
"E06000034","2022","78.1",3
"E07000008","2022","78.2",3
"E07000009","2022","86.1",3
"E07000010","2022","75.3",3
"E07000011","2022","82.8",3
"E07000012","2022","79.4",3
"E07000066","2022","87.5",3
"E07000067","2022","79.7",3
"E07000068","2022","80.8",3
"E07000069","2022","72.8",3
"E07000070","2022","76.5",3
"E07000071","2022","76.5",3
"E07000072","2022","76.8",3
"E07000073","2022","78.6",3
"E07000074","2022","73.3",3
"E07000075","2022","86.2",3
"E07000076","2022","62.4",3
"E07000077","2022","80",3
"E07000095","2022","78.8",3
"E07000096","2022","76.6",3
"E07000242","2022","84.8",3
"E07000098","2022","70.8",3
"E07000099","2022","82.9",3
"E07000240","2022","84.8",3
"E07000243","2022","80.7",3
"E07000102","2022","81.6",3
"E07000103","2022","73.1",3
"E07000241","2022","75.6",3
"E07000143","2022","76",3
"E07000144","2022","82.6",3
"E07000145","2022","65.9",3
"E07000146","2022","75.6",3
"E07000147","2022","80.6",3
"E07000148","2022","81.5",3
"E07000149","2022","77.7",3
"E07000200","2022","73.9",3
"E07000244","2022","82.1",3
"E07000202","2022","84.1",3
"E07000203","2022","81.6",3
"E07000245","2022","76.2",3
"E09000007","2022","70.2",3
"E09000001","2022","100",3
"E09000012","2022","73.2",3
"E09000013","2022","76.6",3
"E09000014","2022","78",3
"E09000019","2022","77.6",3
"E09000020","2022","69.8",3
"E09000022","2022","83.5",3
"E09000023","2022","83",3
"E09000025","2022","76.1",3
"E09000028","2022","75.2",3
"E09000030","2022","72.8",3
"E09000032","2022","89.2",3
"E09000033","2022","70.4",3
"E09000002","2022","71.9",3
"E09000003","2022","70.9",3
"E09000004","2022","83.4",3
"E09000005","2022","69.3",3
"E09000006","2022","81.8",3
"E09000008","2022","76",3
"E09000009","2022","74.7",3
"E09000010","2022","70.2",3
"E09000011","2022","76.2",3
"E09000015","2022","76.8",3
"E09000016","2022","85.4",3
"E09000017","2022","70.3",3
"E09000018","2022","73.5",3
"E09000021","2022","82.3",3
"E09000024","2022","83.8",3
"E09000026","2022","72.3",3
"E09000027","2022","75.1",3
"E09000029","2022","79.2",3
"E09000031","2022","69.6",3
"E06000036","2022","78",3
"E06000043","2022","76.1",3
"E06000060","2022","81.6",3
"E06000046","2022","65.1",3
"E06000035","2022","81.2",3
"E06000042","2022","81.9",3
"E06000044","2022","74.1",3
"E06000038","2022","78.6",3
"E06000039","2022","74.5",3
"E06000045","2022","76.1",3
"E06000037","2022","80.3",3
"E06000040","2022","82.5",3
"E07000063","2022","69",3
"E07000064","2022","76.2",3
"E07000065","2022","72.6",3
"E07000084","2022","80.7",3
"E07000085","2022","76.5",3
"E07000086","2022","85.5",3
"E07000087","2022","84.7",3
"E07000088","2022","67.6",3
"E07000089","2022","82.9",3
"E07000090","2022","68.9",3
"E07000091","2022","77.3",3
"E07000092","2022","77.7",3
"E07000093","2022","77.7",3
"E07000094","2022","74.6",3
"E07000105","2022","76.2",3
"E07000106","2022","69",3
"E07000107","2022","81.1",3
"E07000108","2022","72.4",3
"E07000112","2022","81.7",3
"E07000109","2022","81.6",3
"E07000110","2022","82.4",3
"E07000111","2022","73.6",3
"E07000113","2022","81.1",3
"E07000114","2022","75.1",3
"E07000115","2022","75.2",3
"E07000116","2022","68.4",3
"E07000177","2022","75.9",3
"E07000178","2022","80.8",3
"E07000179","2022","77",3
"E07000180","2022","85",3
"E07000181","2022","86.3",3
"E07000207","2022","76.3",3
"E07000208","2022","76.4",3
"E07000209","2022","81.2",3
"E07000210","2022","74",3
"E07000211","2022","84.1",3
"E07000212","2022","80.8",3
"E07000213","2022","79.9",3
"E07000214","2022","75",3
"E07000215","2022","72.4",3
"E07000216","2022","77.6",3
"E07000223","2022","77.5",3
"E07000225","2022","63.1",3
"E07000226","2022","79.5",3
"E07000227","2022","90.1",3
"E07000228","2022","82.7",3
"E07000229","2022","76.5",3
"E06000022","2022","74.6",3
"E06000058","2022","77.7",3
"E06000023","2022","78.5",3
"E06000052","2022","77.6",3
"E06000059","2022","76.7",3
"E06000024","2022","81.4",3
"E06000026","2022","73.6",3
"E06000025","2022","84.3",3
"E06000030","2022","74.5",3
"E06000027","2022","76",3
"E06000054","2022","81.6",3
"E07000040","2022","76",3
"E07000041","2022","70.4",3
"E07000042","2022","76.1",3
"E07000043","2022","81.3",3
"E07000044","2022","77.3",3
"E07000045","2022","79",3
"E07000046","2022","84.8",3
"E07000047","2022","79.4",3
"E07000078","2022","85.4",3
"E07000079","2022","80.5",3
"E07000080","2022","70.6",3
"E07000081","2022","77.7",3
"E07000082","2022","84.5",3
"E07000083","2022","83.1",3
"E07000187","2022","84.8",3
"E07000188","2022","75.2",3
"E07000246","2022","77.3",3
"E07000189","2022","75.2",3
"E12000001","2022","70.5",3
"E12000002","2022","73.5",3
"E12000003","2022","74.6",3
"E12000004","2022","75.2",3
"E12000005","2022","73.8",3
"E12000006","2022","78.3",3
"E12000007","2022","76.2",3
"E12000008","2022","78.1",3
"E12000009","2022","78.3",3
"K02000001","2022","75.5",3
"N92000002","2022","71.9",3
"S92000003","2022","74.4",3
"W92000004","2022","73.3",3
"S12000033","2022","71.2",3
"S12000034","2022","78.1",3
"S12000041","2022","74.6",3
"S12000035","2022","74.7",3
"S12000036","2022","79.2",3
"S12000005","2022","67.2",3
"S12000006","2022","67.3",3
"S12000042","2022","68.8",3
"S12000008","2022","71.3",3
"S12000045","2022","76.3",3
"S12000010","2022","76.2",3
"S12000011","2022","76.9",3
"S12000014","2022","76",3
"S12000047","2022","74.7",3
"S12000049","2022","72.1",3
"S12000017","2022","71.5",3
"S12000018","2022","76.3",3
"S12000019","2022","79.4",3
"S12000020","2022","76.6",3
"S12000013","2022","84.1",3
"S12000021","2022","73.6",3
"S12000050","2022","68",3
"S12000023","2022","87.5",3
"S12000048","2022","76",3
"S12000038","2022","71.3",3
"S12000026","2022","79.4",3
"S12000027","2022","76.1",3
"S12000028","2022","67.4",3
"S12000029","2022","79.8",3
"W06000001","2022","76.9",3
"W06000002","2022","76.9",3
"W06000003","2022","76.8",3
"W06000004","2022","71.2",3
"W06000005","2022","77.8",3
"W06000006","2022","71.8",3
"W06000023","2022","73.1",3
"W06000008","2022","73.2",3
"W06000009","2022","73.7",3
"W06000010","2022","72.3",3
"W06000011","2022","76.1",3
"W06000012","2022","69.6",3
"W06000013","2022","71.9",3
"W06000014","2022","79.1",3
"W06000015","2022","70.8",3
"W06000016","2022","70.1",3
"W06000024","2022","70.1",3
"W06000018","2022","71.9",3
"W06000019","2022","73.8",3
"W06000020","2022","73.3",3
"W06000021","2022","77.9",3
"W06000022","2022","72.9",3
"E06000001","2018","81.3",4
"E06000002","2018","80",4
"E06000003","2018","81.8",4
"E06000004","2018","81.4",4
"E06000005","2018","82.4",4
"E06000006","2018","81.1",4
"E06000007","2018","82.7",4
"E06000008","2018","80.3",4
"E06000009","2018","79.5",4
"E06000010","2018","80.2",4
"E06000011","2018","83.8",4
"E06000012","2018","82.2",4
"E06000013","2018","82.4",4
"E06000014","2018","83.4",4
"E06000015","2018","82.3",4
"E06000016","2018","81.9",4
"E06000017","2018","85.9",4
"E06000018","2018","81.3",4
"E06000019","2018","83.7",4
"E06000020","2018","81.9",4
"E06000021","2018","80.3",4
"E06000022","2018","85",4
"E06000023","2018","82.6",4
"E06000024","2018","84",4
"E06000025","2018","84.5",4
"E06000026","2018","82.1",4
"E06000027","2018","82.3",4
"E06000030","2018","83.3",4
"E06000031","2018","82.3",4
"E06000032","2018","82.5",4
"E06000033","2018","82.1",4
"E06000034","2018","82.5",4
"E06000035","2018","82.6",4
"E06000036","2018","84.9",4
"E06000037","2018","84.6",4
"E06000038","2018","83.1",4
"E06000039","2018","82.4",4
"E06000040","2018","84.6",4
"E06000041","2018","85.8",4
"E06000042","2018","83",4
"E06000043","2018","82.9",4
"E06000044","2018","82",4
"E06000045","2018","82.6",4
"E06000046","2018","83.5",4
"E06000047","2018","81.5",4
"E06000049","2018","84",4
"E06000050","2018","83",4
"E06000051","2018","83.5",4
"E06000052","2018","83.3",4
"E06000054","2018","84.2",4
"E06000055","2018","83.5",4
"E06000056","2018","84.3",4
"E06000057","2018","82.7",4
"E06000058","2018","83.5",4
"E06000059","2018","84.6",4
"E07000008","2018","83.6",4
"E07000009","2018","85.2",4
"E07000010","2018","82.2",4
"E07000011","2018","84.4",4
"E07000012","2018","85.7",4
"E07000026","2018","82.4",4
"E07000027","2018","81",4
"E07000028","2018","82.4",4
"E07000029","2018","81.7",4
"E07000030","2018","85.1",4
"E07000031","2018","84.7",4
"E07000032","2018","82.9",4
"E07000033","2018","82",4
"E07000034","2018","81.8",4
"E07000035","2018","84.8",4
"E07000036","2018","83.5",4
"E07000037","2018","83.4",4
"E07000038","2018","82.8",4
"E07000039","2018","82.9",4
"E07000040","2018","84.9",4
"E07000041","2018","83.8",4
"E07000042","2018","84.4",4
"E07000043","2018","83.2",4
"E07000044","2018","85",4
"E07000045","2018","84.5",4
"E07000046","2018","82.7",4
"E07000047","2018","83.3",4
"E07000061","2018","83.5",4
"E07000062","2018","81.6",4
"E07000063","2018","85.2",4
"E07000064","2018","83.7",4
"E07000065","2018","84.7",4
"E07000066","2018","82.6",4
"E07000067","2018","83",4
"E07000068","2018","84.6",4
"E07000069","2018","83",4
"E07000070","2018","84.3",4
"E07000071","2018","83.1",4
"E07000072","2018","83.8",4
"E07000073","2018","82.7",4
"E07000074","2018","83.3",4
"E07000075","2018","84.4",4
"E07000076","2018","81.6",4
"E07000077","2018","85.2",4
"E07000078","2018","83.5",4
"E07000079","2018","85.1",4
"E07000080","2018","83.3",4
"E07000081","2018","82.7",4
"E07000082","2018","83.7",4
"E07000083","2018","84.6",4
"E07000084","2018","83.8",4
"E07000085","2018","84.6",4
"E07000086","2018","85",4
"E07000087","2018","84",4
"E07000088","2018","83.2",4
"E07000089","2018","85.1",4
"E07000090","2018","83.2",4
"E07000091","2018","85.5",4
"E07000092","2018","82.7",4
"E07000093","2018","84.9",4
"E07000094","2018","85.2",4
"E07000095","2018","85",4
"E07000096","2018","84.3",4
"E07000098","2018","84",4
"E07000099","2018","83.8",4
"E07000102","2018","84",4
"E07000103","2018","82.7",4
"E07000105","2018","84.2",4
"E07000106","2018","83.4",4
"E07000107","2018","82.2",4
"E07000108","2018","82.3",4
"E07000109","2018","83.7",4
"E07000110","2018","83.7",4
"E07000111","2018","84.8",4
"E07000112","2018","83.1",4
"E07000113","2018","82.9",4
"E07000114","2018","82.2",4
"E07000115","2018","84.3",4
"E07000116","2018","84.5",4
"E07000117","2018","81.4",4
"E07000118","2018","82.4",4
"E07000119","2018","82.9",4
"E07000120","2018","80.7",4
"E07000121","2018","82.5",4
"E07000122","2018","81.3",4
"E07000123","2018","80.9",4
"E07000124","2018","83.5",4
"E07000125","2018","82.2",4
"E07000126","2018","83.4",4
"E07000127","2018","82.2",4
"E07000128","2018","82.4",4
"E07000129","2018","84.9",4
"E07000130","2018","83.9",4
"E07000131","2018","84.9",4
"E07000132","2018","83.9",4
"E07000133","2018","83.8",4
"E07000134","2018","83.2",4
"E07000135","2018","84.5",4
"E07000136","2018","82.1",4
"E07000137","2018","82",4
"E07000138","2018","80.5",4
"E07000139","2018","84.1",4
"E07000140","2018","83.1",4
"E07000141","2018","83.8",4
"E07000142","2018","83.5",4
"E07000143","2018","84.3",4
"E07000144","2018","84.9",4
"E07000145","2018","82.6",4
"E07000146","2018","82.8",4
"E07000147","2018","84.8",4
"E07000148","2018","83.2",4
"E07000149","2018","85",4
"E07000163","2018","85",4
"E07000164","2018","85",4
"E07000165","2018","84.6",4
"E07000166","2018","84",4
"E07000167","2018","85.3",4
"E07000168","2018","82.8",4
"E07000169","2018","83.2",4
"E07000170","2018","81.8",4
"E07000171","2018","82.5",4
"E07000172","2018","83",4
"E07000173","2018","82.9",4
"E07000174","2018","81.3",4
"E07000175","2018","82.9",4
"E07000176","2018","84.6",4
"E07000177","2018","83.5",4
"E07000178","2018","84.5",4
"E07000179","2018","85.5",4
"E07000180","2018","85.4",4
"E07000181","2018","84.6",4
"E07000187","2018","84.4",4
"E07000188","2018","84.1",4
"E07000189","2018","84.5",4
"E07000192","2018","82.4",4
"E07000193","2018","82.7",4
"E07000194","2018","83.4",4
"E07000195","2018","82.4",4
"E07000196","2018","83.9",4
"E07000197","2018","83.9",4
"E07000198","2018","83.1",4
"E07000199","2018","82.9",4
"E07000200","2018","84.7",4
"E07000202","2018","83.2",4
"E07000203","2018","85",4
"E07000207","2018","85.6",4
"E07000208","2018","86.1",4
"E07000209","2018","85.3",4
"E07000210","2018","86.3",4
"E07000211","2018","84.5",4
"E07000212","2018","84.3",4
"E07000213","2018","84.2",4
"E07000214","2018","84.7",4
"E07000215","2018","85",4
"E07000216","2018","85.7",4
"E07000217","2018","84.3",4
"E07000218","2018","82.6",4
"E07000219","2018","82.6",4
"E07000220","2018","83.5",4
"E07000221","2018","84.6",4
"E07000222","2018","84.2",4
"E07000223","2018","83.7",4
"E07000224","2018","83.5",4
"E07000225","2018","84.8",4
"E07000226","2018","83.4",4
"E07000227","2018","85.1",4
"E07000228","2018","85.2",4
"E07000229","2018","83.1",4
"E07000234","2018","83.8",4
"E07000235","2018","84",4
"E07000236","2018","83.3",4
"E07000237","2018","83.3",4
"E07000238","2018","85.1",4
"E07000239","2018","83.7",4
"E07000240","2018","85.3",4
"E07000241","2018","84.2",4
"E07000242","2018","84.9",4
"E07000243","2018","83",4
"E07000244","2018","83.7",4
"E07000245","2018","84.6",4
"E07000246","2018","83.6",4
"E08000001","2018","81.5",4
"E08000002","2018","81.7",4
"E08000003","2018","79.8",4
"E08000004","2018","81.2",4
"E08000005","2018","81",4
"E08000006","2018","80.9",4
"E08000007","2018","83.3",4
"E08000008","2018","80.7",4
"E08000009","2018","83.9",4
"E08000010","2018","81.2",4
"E08000011","2018","80.4",4
"E08000012","2018","80.1",4
"E08000013","2018","81",4
"E08000014","2018","82.6",4
"E08000015","2018","82",4
"E08000016","2018","81.9",4
"E08000017","2018","81.6",4
"E08000018","2018","81.8",4
"E08000019","2018","82.3",4
"E08000021","2018","81.7",4
"E08000022","2018","82.1",4
"E08000023","2018","81.5",4
"E08000024","2018","81.4",4
"E08000025","2018","82.1",4
"E08000026","2018","82.3",4
"E08000027","2018","82.8",4
"E08000028","2018","81.1",4
"E08000029","2018","84.1",4
"E08000030","2018","82",4
"E08000031","2018","81.4",4
"E08000032","2018","81.6",4
"E08000033","2018","82.2",4
"E08000034","2018","82.5",4
"E08000035","2018","82.1",4
"E08000036","2018","81.9",4
"E08000037","2018","81.4",4
"E09000002","2018","82.7",4
"E09000003","2018","85.8",4
"E09000004","2018","84.1",4
"E09000005","2018","85.1",4
"E09000006","2018","85",4
"E09000007","2018","87",4
"E09000008","2018","84",4
"E09000009","2018","84.8",4
"E09000010","2018","84.8",4
"E09000011","2018","83",4
"E09000012","2018","83.7",4
"E09000013","2018","84.6",4
"E09000014","2018","85",4
"E09000015","2018","86",4
"E09000016","2018","84",4
"E09000017","2018","84",4
"E09000018","2018","83.8",4
"E09000019","2018","83.3",4
"E09000020","2018","86.8",4
"E09000021","2018","84.9",4
"E09000022","2018","83.7",4
"E09000023","2018","83.8",4
"E09000024","2018","84.3",4
"E09000025","2018","83.3",4
"E09000026","2018","84.8",4
